Day Number,Date,Slot Number,Time Slot,Section ID,Section Name,Department,Grade Level,Shift,Subject ID,Subject,Teacher ID,Teacher,Duration (Mins)
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_1,KINDER 2 CLASS SCHEDULE (F2F),Kindergarten,Kinder 2,F2F,subj_circle_time,Circle Time,tchr_keychell,Teacher Keychell,30
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_1,KINDER 2 CLASS SCHEDULE (F2F),Kindergarten,Kinder 2,F2F,subj_hadith,Hadith,tchr_saliha,Ustadha Saliha,30
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_1,KINDER 2 CLASS SCHEDULE (F2F),Kindergarten,Kinder 2,F2F,subj_arabic,Arabic Language,tchr_saliha,Ustadha Saliha,30
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_1,KINDER 2 CLASS SCHEDULE (F2F),Kindergarten,Kinder 2,F2F,subj_qur_an,Qur'an,tchr_jaisam,Ustadh Jaisam,30
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_2,KINDER 1 CLASS SCHEDULE (F2F),Kindergarten,Kinder 1,F2F,subj_circle_time,Circle Time,tchr_wendy,Teacher Wendy,30
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_2,KINDER 1 CLASS SCHEDULE (F2F),Kindergarten,Kinder 1,F2F,subj_qur_an,Qur'an,tchr_jaisam,Ustadh Jaisam,30
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_2,KINDER 1 CLASS SCHEDULE (F2F),Kindergarten,Kinder 1,F2F,subj_arabic,Arabic Language,tchr_saliha,Ustadha Saliha,30
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_2,KINDER 1 CLASS SCHEDULE (F2F),Kindergarten,Kinder 1,F2F,subj_hadith,Hadith,tchr_saliha,Ustadha Saliha,30
1,"Wednesday, September 2, 2026",2,09:00 AM – 10:00 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_gmrc_values,GMRC / Values,tchr_saliha,Ustadha Saliha,60
4,"Monday, September 7, 2026",2,09:00 AM – 10:00 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_language,Language,tchr_sahdia,Teacher Sahdia,60
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_21st_cent_lit,21st Century Literature,tchr_katrina,Teacher Katrina,60
3,"Sunday, September 6, 2026",2,09:00 AM – 10:00 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_mathematics,Mathematics,tchr_wendy,Teacher Wendy,60
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_shaf,SHAF,tchr_abdiraheem,Ustadh Abdiraheem,60
2,"Thursday, September 3, 2026",2,09:00 AM – 10:00 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_makabansa,Makabansa,tchr_norhydie,Teacher Norhydie,60
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_arabic,Arabic Language,tchr_sahdia,Teacher Sahdia,60
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_3,GRADE 1 (FACE TO FACE),Elementary,Grade 1,F2F,subj_qur_an,Qur'an,tchr_obaydah,Ustadh Obaydah,60
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_english,English,tchr_marham,Teacher Marham,60
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_makabansa,Makabansa,tchr_monisa,Teacher Monisa,60
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_mathematics,Mathematics,tchr_sitti_kauzar,Teacher Sitti Kauzar,60
4,"Monday, September 7, 2026",1,08:00 AM – 09:00 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_gmrc_values,GMRC / Values,tchr_saliha,Ustadha Saliha,60
3,"Sunday, September 6, 2026",2,09:00 AM – 10:00 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_qur_an,Qur'an,tchr_obaydah,Ustadh Obaydah,60
2,"Thursday, September 3, 2026",2,09:00 AM – 10:00 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_arabic,Arabic Language,tchr_obaydah,Ustadh Obaydah,60
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_filipino,Filipino,tchr_sitti_kauzar,Teacher Sitti Kauzar,60
1,"Wednesday, September 2, 2026",2,09:00 AM – 10:00 AM,sec_4,GRADE 2 (FACE TO FACE),Elementary,Grade 2,F2F,subj_shaf,SHAF,tchr_ersahad,Ustadh Ersahad,60
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_science,Science,tchr_jerlyn,Teacher Jerlyn,60
2,"Thursday, September 3, 2026",1,08:00 AM – 09:00 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_makabansa,Makabansa,tchr_wendy,Teacher Wendy,60
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_english,English,tchr_marham,Teacher Marham,60
4,"Monday, September 7, 2026",2,09:00 AM – 10:00 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_filipino,Filipino,tchr_normylah,Teacher Normylah,60
3,"Sunday, September 6, 2026",1,08:00 AM – 09:00 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_gmrc_values,GMRC / Values,tchr_saliha,Ustadha Saliha,60
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_shaf,SHAF,tchr_ersahad,Ustadh Ersahad,60
1,"Wednesday, September 2, 2026",2,09:00 AM – 10:00 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_arabic,Arabic Language,tchr_silfah,Ustadha Silfah,60
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_qur_an,Qur'an,tchr_obaydah,Ustadh Obaydah,60
1,"Wednesday, September 2, 2026",1,08:00 AM – 09:00 AM,sec_5,GRADE 3 (FACE TO FACE),Elementary,Grade 3,F2F,subj_mathematics,Mathematics,tchr_jerlyn,Teacher Jerlyn,60
2,"Thursday, September 3, 2026",1,08:00 AM – 09:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_technology_and_livelihood_education,Technology and Livelihood Education,tchr_monisa,Teacher Monisa,60
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_mathematics,Mathematics,tchr_arvin,Teacher Arvin,60
3,"Sunday, September 6, 2026",1,08:00 AM – 09:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_shaf,SHAF,tchr_abdiraheem,Ustadh Abdiraheem,60
2,"Thursday, September 3, 2026",2,09:00 AM – 10:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_gmrc_values,GMRC / Values,tchr_sahdia,Teacher Sahdia,60
4,"Monday, September 7, 2026",2,09:00 AM – 10:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_science,Science,tchr_junaisah,Teacher Junaisah,60
1,"Wednesday, September 2, 2026",3,10:25 AM – 11:25 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_filipino,Filipino,tchr_norhydie,Teacher Norhydie,60
3,"Sunday, September 6, 2026",2,09:00 AM – 10:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_arabic,Arabic Language,tchr_ali,Ustadh Ali,60
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_qur_an,Qur'an,tchr_obaydah,Ustadh Obaydah,60
2,"Thursday, September 3, 2026",3,10:25 AM – 11:25 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_araling_panlipunan,Araling Panlipunan (AP),tchr_monisa,Teacher Monisa,60
1,"Wednesday, September 2, 2026",2,09:00 AM – 10:00 AM,sec_6,GRADE 4 (FACE TO FACE),Elementary,Grade 4,F2F,subj_english,English,tchr_norhydie,Teacher Norhydie,60
4,"Monday, September 7, 2026",3,10:25 AM – 11:25 AM,sec_7,GRADE 5 (FACE TO FACE),Elementary,Grade 5,F2F,subj_english,English,tchr_jessa,Teacher Jessa,60
4,"Monday, September 7, 2026",2,09:00 AM – 10:00 AM,sec_7,GRADE 5 (FACE TO FACE),Elementary,Grade 5,F2F,subj_gmrc_values,GMRC / Values,tchr_jairah,Teacher Jairah,60
4,"Monday, September 7, 2026",1,08:00 AM – 09:00 AM,sec_7,GRADE 5 (FACE TO FACE),Elementary,Grade 5,F2F,subj_qur_an,Qur'an,tchr_obaydah,Ustadh Obaydah,60
3,"Sunday, September 6, 2026",2,09:00 AM – 10:00 AM,sec_7,GRADE 5 (FACE TO FACE),Elementary,Grade 5,F2F,subj_arabic,Arabic Language,tchr_ersahad,Ustadh Ersahad,60
3,"Sunday, September 6, 2026",3,10:25 AM – 11:25 AM,sec_7,GRADE 5 (FACE TO FACE),Elementary,Grade 5,F2F,subj_technology_and_livelihood_education,Technology and Livelihood Education,tchr_halnaisa,Teacher Halnaisa,60
